entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:texas-tamale|hot,texas-tamale,Texas Tamale Co.,hot,Hot Sauce,,00717725250121,,,retail_listing,http://world-en.openfoodfacts.org/product/0717725250121/hot-sauce-texas-tamale-co,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,124,sauce:a-m-braswell-jr|hot|sauce:ala-orden|hot|sauce:always-save|hot|sauce:antonio-sanchez-salazar|hot|sauce:best-choice|hot,single_source:off,0,,,v1
sauce:texas|restaurant-style-roasted-garlic-and-serrano-salsa,texas,Texas,restaurant-style-roasted-garlic-and-serrano-salsa,"Restaurant Style, Roasted Garlic, And Serrano Salsa",,00702218350631,,,retail_listing,http://world-en.openfoodfacts.org/product/0702218350631/restaurant-style-roasted-garlic-and-serrano-salsa-texas,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:texaspete|sriracha-cha,texaspete,Texaspete,sriracha-cha,Sriracha Cha,,00075500005152,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500005152/sriracha-cha-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:texaspete|hot-sauce-imp,texaspete,Texaspete,hot-sauce-imp,Hot Sauce imp,,00075500000003,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500000003/texaspete-hot-sauce-imp,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:baumer|hot-sauce-imp,single_source:off,0,,,v1
sauce:texaspete|habanero-buffalo,texaspete,Texaspete,habanero-buffalo,Habanero Buffalo Sauce,,00075500100284,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500100284/habanero-buffalo-sauce-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:habafuego|habanero-buffalo,single_source:off,0,,,v1
sauce:texaspete|hot-chile,texaspete,Texaspete,hot-chile,Hot chile sauce,,00075500005251,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500005251/hot-chile-sauce-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:texas-pete|hot-chile,single_source:off,0,,,v1
sauce:texaspete|hot,texaspete,Texaspete,hot,Hot Sauce,,00075500000034,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500000034/hot-sauce-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,124,sauce:a-m-braswell-jr|hot|sauce:ala-orden|hot|sauce:always-save|hot|sauce:antonio-sanchez-salazar|hot|sauce:best-choice|hot,single_source:off,0,,,v1
sauce:texaspete|buffalo-wing,texaspete,Texaspete,buffalo-wing,Buffalo wing sauce,,00075500000119,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500000119/buffalo-wing-sauce-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,24,sauce:365-whole-foods-market|buffalo-wing|sauce:cindy-s-kitchen|buffalo-wing|sauce:cookies|buffalo-wing|sauce:culinary-secrets|buffalo-wing|sauce:four-brothers|buffalo-wing,single_source:off,0,,,v1
sauce:texaspete|wing,texaspete,Texaspete,wing,Wing Sauce,,00075500041037,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500041037/wing-sauce-texaspete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,26,sauce:ahold|wing|sauce:bella-s|wing|sauce:best-choice|wing|sauce:chestnut-hill|wing|sauce:chica-bella|wing,single_source:off,0,,,v1
sauce:campbell-soup|chile-sauce-cheesy-chipotle,tgi-fridays,Tgi Fridays,chile,Chile Sauce,,00051000216595,,,retail_listing,http://world-en.openfoodfacts.org/product/0051000216595/chile-sauce-tgi-fridays,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,fdc|off,2,1_population,,False,0,,multi_source,0,,,v1
